"Schlagwort","Durchschnittliche Seitenzahl","Anzahl Der Konkurrenten","Durchschnittspreis","Durchschnittliches Monatliches Einkommen","Geschätzte Amazon-suchanfragen Pro Monat","Amazon Searches/Month Color","Schwierigkeitsgrad Der Konkurrenz","Competitive Score Color"
"small town romanze","238","50.000","2 €","180 €","366","Yellow",35,"Green"
"elsie silver","423","88","8 €","1.035 €","904","Red",65,"Yellow"
"small town romance series","317","40.000","3 €","156 €","<50","Red",35,"Green"
"small town romance","376","50.000","1 €","483 €","131","Red",59,"Yellow"
"wild love","426","30.000","6 €","811 €","521","Red",84,"Red"
"small-town romance","222","60.000","1 €","155 €","186","Red",22,"Green"
"romance small town","294","50.000","4 €","1.472 €","51","Red",54,"Yellow"
"small town romance set","854","9.000","1 €","9 €","<50","Red",5,"Green"
"small town and rural romance","413","20.000","1 €","8 €","<50","Red",1,"Green"
"mm small town romance","204","4.000","2 €","13 €","<50","Red",4,"Green"
"smalltown romance","319","10.000","4 €","129 €","530","Red",31,"Green"
"small town romance menage","221","1.000","3 €","37 €","<50","Red",20,"Green"
"small town romance books","358","50.000","2 €","390 €","<50","Red",9,"Green"
"small town wedding romance","352","6.000","4 €","45 €","<50","Red",20,"Green"
"charming small town romance","242","3.000","2 €","15 €","<50","Red",47,"Yellow"
"by you small town romance","282","10.000","3 €","199 €","<50","Red",20,"Green"
"small town romance novella","136","7.000","2 €","29 €","514","Green",19,"Green"
"cozy small town romance","226","10.000","1 €","27 €","<50","Red",66,"Yellow"
"cozy romance small town","324","10.000","2 €","32 €","<50","Red",23,"Green"
"small town romance deutsch","316","2.000","4 €","311 €","68","Red",43,"Yellow"
"small town romance english","330","50.000","1 €","158 €","1.751","Green",22,"Green"
